PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
sorted,,1,"FR: à valider par Jesse, questions à régler, validé->surligner en vert. En: idem",,,,,,,0,,,< 115 caractères,,< 115c,,<145c,,<145c,,,,,,,,"Identique
Opposé
Inverse
Modal-Accusation
Modal-Piège",,,format #FF33444,id dans le fichier d illustration
0,0,0,,,,Arguments fallacieux,20,,Fallacies,9,https://fr.wikipedia.org/wiki/Sophisme,https://en.wikipedia.org/wiki/Fallacy,Vous argumentez dans le but de tromper votre auditoire.,55,Your argumentation aims at convincing your audience by deceptive means.,71,Tout ce qui rare est cher. Un cheval bon marché est rare. Donc un cheval bon marché est cher. ,94," ""All that's rare is expensive. A cheap horse is rare. A cheap horse is therefore expensive""",92,,,,,,,,diamond,,,
1,1,1,"Jesse OK, manquent liens",1,,Insuffisance,12,,Insufficiency,13,,,Les arguments que vous utilisez ne suffisent pas à démontrer votre propos.,74,Using unconvincing arguments which are not sufficient to prove the point.,73,,0,"It's very warm over there, that's why they are lazy.",52,light green 3: validé par ben le 3 octobre,,,,"Le bon blé porte l'ivraie.""",,,square,fusil cassé,#a901ef,
2,1.1,2,"Jesse OK, manquent liens",1,,"Argument
bâclé",14,,Slovenly argument,17,,,"Votre raisonnement manque de rigueur, il s'appuie sur des impressions ou des faits anecdotiques.",96,Providing weak arguments based on shaky grounds such as hearsay or anecdotal evidence.,86,"Hier, j'ai marché dans une crotte de chien en saluant un passant dans la rue. En ville, mieux vaut éviter de s'adresser à des inconnus.",135,"Yesterday, I smiled to a stranger in the street, and then stepped in dog poo. In cities, one should remain aloof to be secure.",126,,,,,"""Pardonne à tous mais non à toi.""",,,circle,démon qui lit (bof),,
3,1.1.1,3,"Jesse OK, manquent liens",2,,Justification triviale,22,,Trivial Justification,21,,,"Vous attribuez à une habitude, une impression ou un exemple la valeur d'une preuve.",83,"Using anecdotes, habits or intuition as evidence.",49,J'ai entendu dire que cette personne était sexiste ; il m'est donc impossible d'être en accord avec elle sur quoi que ce soit.,126,We can't agree with him. I heard he is a sexist.,48,,,,,"""Nulle rose sans épine.""",,,circle,,,
4,1.1.1.1,4,"Jesse OK
",2,,Preuve anecdotique,18,,Anecdotal evidence,18,,http://rationalwiki.org/wiki/Anecdotal_evidence,Vous attribuez à un événement fortuit ou à un exemple la valeur d'un argument.,78,Using anecdotes or examples to either support or refute a claim.,64,J'ai eu de bonnes notes en mathématiques après avoir bu du jus de cassis ; le jus de cassis rend donc fort en mathématiques.,124,"I drank grapefruit juice and I got good grades at school. Thus, grapefruit juice is good for school.",100,,,,,"Juillet sans orage,
Famine au village.""",,,circle,microscope,,
5,1.1.1.1.1,5,,,,Argument par ouï-dire,21,,Argument from hearsay,21,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/52/Argument-from-Hearsay,Vous vous appuyez sur des paroles rapportées et invérifiables,61,Presenting the testimonies told by a source so remote that it can't be verified.,80,Jean a entendu Pierre qui a entendu Jacques dire que les autruches volent en Nouvelle Calédonie,95,John heard Peter say that Jack claims that ostriches of New Caledonia can actually fly.,87,,Chinese whisper,,,"""Téléphone arabe""",,,circle,,,
6,1.1.1.1.2,5,,,,Hypothèse contraire aux faits,29,,Counterfactual assumption,25,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/106/Hypothesis-Contrary-to-Fact,Vous traitez une hypothèse non advenue comme un fait.,53,Arguing on the basis of an assumption which is not actually true.,65,"Si Obama avait été plus sérieux, il aurait été réélu.XXXSi la gauche parvient à s'unir, elle gagné les élection. Ensuite on peut faire une Europe sociale.",154,A more conscientious Obama would have been re-elected.XXXA united left would win French election. That would enable Europe to make more social policies.,152,En quoi est-ce anecdotique?,"If wishes where horses, beggars would ride.",,,"""Avec des si et des mais, on met Paris en bouteille""",,,circle,,,
7,1.1.1.1.3,5,,,,Sophisme pragmatique,20,,Pragmatic fallacy,17,,http://rationalwiki.org/wiki/Pragmatic_fallacy,Vous supposez que ce qui fonctionne pour l'un fonctionne aussi pour l'autre.,76,Assuming that something which helped one (usually the speaker) will help anyone.,80,L'uniforme m'a permi de recadrer ma vie. Tout le monde devrait passer par l'armée.,82,Gardening cured me from anxiety. We should make the unruly urban youth work in the fields. XXXXj'aime beaucoup mais ptet un peu trop provov. à valider,150,,,,,,,,circle,,,
8,1.1.1.1.3.1,6,,,,La pendule cassée,17,,The broken clock,16,,http://rationalwiki.org/wiki/Stopped_clock,Vous avancez un argument qui semble correct car un cas particulier chanceux le corrobore.,89,"Asserting the accuracy of a theory on the basis of its correct prediction on one or several specific, lucky cases.",114,"Lorsque l'horloge est arrêtée, il est possible, 2 minutes par jour, de défendre l'idée selon laquelle elle fonctionne : quand l'heure réelle correspond à la position sur laquelle elle est arrêtée, ses prédictions sont ""justes"".",227,"When a clock is broken, its arms tell the correct time twice a day. At these precise moments, one can argue that the clock tells the correct time.",146,,A broken clock tells the correct time twice a day.,,,"""Même une horloge en panne donne la bonne heure deux fois par jour"". ",,,circle,,,
