key,carte,shape,image,text_fr,text_en,desc_fr,desc_en,example_fr,example_en,latin,proverbe,link_fr,link_en

root,,diamond,,Arguments fallacieux,,,,,,,,https://fr.wikipedia.org/wiki/Sophisme,
1,,square,,Insuffisance,,,,,,,,,
1.1,,circle,,Argument désinvolte,,,,,,,,,
1.1.1,,circle,,Discours baclé,,,,,,,,,
1.1.1.1,,circle,,Preuve anecdotique,,,,,,,,http://rationalwiki.org/wiki/Anecdotal_evidence,
1.1.1.1.1,,circle,,Argument par ouïe dire,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/52/Argument-from-Hearsay,
1.1.1.1.2,,circle,,Hypothèse contraire aux faits,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/106/Hypothesis-Contrary-to-Fact,
1.1.1.1.3,,circle,,Sophisme pragmatique,,,,,,,,http://rationalwiki.org/wiki/Pragmatic_fallacy,
1.1.1.1.3.1,,circle,,La pendule cassée,,,,,,,,http://rationalwiki.org/wiki/Stopped_clock,
1.1.1.1.4,,circle,,Argument de l'ami,,,,,,,,http://rationalwiki.org/wiki/Argument_de_l%27ami,
1.1.1.1.5,,circle,,Je sais quand je le vois,,,,,,,,https://en.wikipedia.org/wiki/I_know_it_when_I_see_it,
1.1.1.1.6,,circle,,Appel à la fiction,,,,,,,,http://rationalwiki.org/wiki/Generalization_from_fictional_evidence,
1.1.1.2,,circle,,Pratique courante,,,,,,,,http://www.nizkor.org/features/fallacies/appeal-to-common-practice.html,
1.1.1.2.1,,circle,,Certitude supposée,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/15/Alleged-Certainty,
1.1.1.2.2,,circle,,Appel à la normalité,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/37/Appeal-to-Normality,
1.1.1.2.3,,circle,,Appel au péquin moyen,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/25/Appeal-to-Common-Folk,
1.1.1.2.4,,circle,,Renforcement communal,,,,,,,,http://skepdic.com/communalreinforcement.html,
