!;

!key;family;rel;carte;shape;image;latin;image;text_fr;text_en;desc_fr;desc_en;example_fr;example_en;proverbe;link_fr;link_en;label

*root;Arguments fallacieux;;;diamond;;;;Arguments fallacieux;;;;;;;https://fr.wikipedia.org/wiki/Sophisme;;Arguments fallacieux
1;Insuffisance;;;square;;;;Insuffisance;;;;;;;;;Insuffisance
1.1;Insuffisance;;;circle;;;;Argument désinvolte;;;;;;;;;Argument désinvolte
1.1.1;Insuffisance;;;circle;;;;Discours baclé;;;;;;;;;Discours baclé
1.1.1.1;Insuffisance;;;circle;;;;Preuve anecdotique;;;;;;;http://rationalwiki.org/wiki/Anecdotal_evidence;;Preuve anecdotique
1.1.1.1.1;Insuffisance;;;circle;;;;Argument par ouïe dire;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/52/Argument-from-Hearsay;;Argument par ouïe dire
1.1.1.1.2;Insuffisance;;;circle;;;;Hypothèse contraire aux faits;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/106/Hypothesis-Contrary-to-Fact;;Hypothèse contraire aux faits
1.1.1.1.3;Insuffisance;;;circle;;;;Sophisme pragmatique;;;;;;;http://rationalwiki.org/wiki/Pragmatic_fallacy;;Sophisme pragmatique
1.1.1.1.3.1;Insuffisance;;;circle;;;;La pendule cassée;;;;;;;http://rationalwiki.org/wiki/Stopped_clock;;La pendule cassée
1.1.1.1.4;Insuffisance;;;circle;;;;Argument de l'ami;;;;;;;http://rationalwiki.org/wiki/Argument_de_l%27ami;;Argument de l'ami
1.1.1.1.5;Insuffisance;;;circle;;;;Je sais quand je le vois;;;;;;;https://en.wikipedia.org/wiki/I_know_it_when_I_see_it;;Je sais quand je le vois
1.1.1.1.6;Insuffisance;;;circle;;;;Appel à la fiction;;;;;;;http://rationalwiki.org/wiki/Generalization_from_fictional_evidence;;Appel à la fiction
1.1.1.2;Insuffisance;;;circle;;;;Pratique courante;;;;;;;http://www.nizkor.org/features/fallacies/appeal-to-common-practice.html;;Pratique courante
1.1.1.2.1;Insuffisance;;;circle;;;;Certitude supposée;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/15/Alleged-Certainty;;Certitude supposée
1.1.1.2.2;Insuffisance;;;circle;;;;Appel à la normalité;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/37/Appeal-to-Normality;;Appel à la normalité
1.1.1.2.3;Insuffisance;;;circle;;;;Appel au péquin moyen;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/25/Appeal-to-Common-Folk;;Appel au péquin moyen
1.1.1.2.4;Insuffisance;;;circle;;;;Renforcement communal;;;;;;;http://skepdic.com/communalreinforcement.html;;Renforcement communal
1.1.1.2.5;Insuffisance;;;circle;;;;Appel au sens commun (ad judicium );;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#commonsense;;Appel au sens commun (ad judicium )
1.1.1.3;Insuffisance;;;circle;;;;Sophisme du psychologue;;;;;;;https://en.wikipedia.org/wiki/Psychologist%27s_fallacy;;Sophisme du psychologue
1.1.1.3.1;Insuffisance;6.3.1.4;;circle;;;;Projection mentale;;;;;;;https://en.wikipedia.org/wiki/Mind_projection_fallacy;;Projection mentale
1.1.2;Insuffisance;;;circle;;;;Sauvetage ad-hoc;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/8/Ad-Hoc-Rescue;;Sauvetage ad-hoc
1.1.2.1;Insuffisance;;;circle;;;;Le marteau en or / solution à tous les problèmes;;;;;;;http://rationalwiki.org/wiki/Golden_hammer;;Le marteau en or / solution à tous les problèmes
1.1.2.1.1;Insuffisance;;;circle;;;;Fausseté fractale;;;;;;;http://rationalwiki.org/wiki/Fractal_wrongness;;Fausseté fractale
1.1.2.1.2;Insuffisance;;;circle;;;;Confondre inexpliqué et inexpliquable;;;;;;;http://www.charlatans.info/logique22.shtml#inexplique;;Confondre inexpliqué et inexpliquable
1.1.2.1.2.1;Insuffisance;;;circle;;;;Le sophisme Didit;;;;;;;http://rationalwiki.org/wiki/Didit_fallacy;;Le sophisme Didit
1.1.2.1.2.1.1;Insuffisance;;;circle;;;;Dieu des trous;;;;;;;http://rationalwiki.org/wiki/God_of_the_gaps;;Dieu des trous
1.1.2.2;Insuffisance;;;circle;;;;Argument par le scénario;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#scenario;;Argument par le scénario
1.1.2.3;Insuffisance;;;circle;;;;Rationalisation (Trouver des excuses);;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/149/Rationalization;;Rationalisation (Trouver des excuses)
1.1.2.3.1;Insuffisance;;;circle;;;;Hypothèse farfelue;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/96/Far-Fetched-Hypothesis;;Hypothèse farfelue
1.1.2.3.1.1;Insuffisance;;;circle;;;;Familiarité étonante;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#familiarity;;Familiarité étonante
